Date	logret
6/4/1987	-0.005603878
6/5/1987	0.011136366
6/8/1987	0.021451001
6/9/1987	-0.010593073
6/10/1987	0.005328834
6/11/1987	-0.005328834
6/12/1987	-0.010857928
6/15/1987	-0.005532489
6/16/1987	0.016390416
6/17/1987	0
6/18/1987	-0.010857928
6/19/1987	0.010857928
6/22/1987	0.010593073
6/23/1987	-0.00526424
6/24/1987	-0.010723865
6/25/1987	0.026328939
6/26/1987	0
6/29/1987	-0.00513964
6/30/1987	0.015239967
7/1/1987	0.009870754
7/2/1987	-0.014891555
7/6/1987	-0.005079526
7/7/1987	-0.00513964
7/8/1987	0.015239967
7/9/1987	0.00496342
7/10/1987	0.004907334
7/13/1987	0.023737847
7/14/1987	-0.009340026
7/15/1987	0.009340026
7/16/1987	0
7/17/1987	-0.014086461
7/20/1987	-0.004798883
7/21/1987	-0.004852503
7/22/1987	-0.004907334
7/23/1987	0
7/24/1987	0
7/27/1987	0.009759837
7/28/1987	0
7/29/1987	0.009545318
7/30/1987	-0.004746435
7/31/1987	-0.01455872
8/3/1987	0
8/4/1987	0.009759837
8/5/1987	0.009545318
8/6/1987	0.009340026
8/7/1987	0.009143379
8/10/1987	0.008954843
8/11/1987	-0.008954843
8/12/1987	0.008954843
8/13/1987	0
8/14/1987	-0.004454341
8/17/1987	0
8/18/1987	-0.004500501
8/19/1987	0.008954843
8/20/1987	0.008773924
8/21/1987	0
8/24/1987	0.008600172
8/25/1987	0.012589127
8/26/1987	0.004116566
8/27/1987	-0.020984491
8/28/1987	0
8/31/1987	-0.004321374
9/1/1987	0
9/2/1987	0.004321374
9/3/1987	0.008515851
9/4/1987	-0.008515851
9/8/1987	0.004278798
9/9/1987	0.008433168
9/10/1987	0
9/11/1987	0
9/14/1987	-0.004196115
9/15/1987	0
9/16/1987	0.004196115
9/17/1987	0.008272526
9/18/1987	-0.012468641
9/21/1987	0.016546553
9/22/1987	0.015939201
9/23/1987	0.003895044
9/24/1987	-0.003895044
9/25/1987	0
9/28/1987	-0.003930294
9/29/1987	0.003930294
9/30/1987	0.01913501
10/1/1987	0.011088972
10/2/1987	0.003634285
10/5/1987	-0.014723257
10/6/1987	0
10/7/1987	-0.007553138
10/8/1987	0
10/9/1987	-0.003826408
10/12/1987	-0.003860421
10/13/1987	-0.015794267
10/14/1987	-0.016390416
10/15/1987	-0.017033339
10/16/1987	-0.096910013
10/19/1987	-0.028028724
10/20/1987	0.011429462
10/21/1987	-0.060415922
10/22/1987	-0.019894829
10/23/1987	-0.09017663
10/26/1987	0.024359346
10/27/1987	0.044967146
10/28/1987	0.10116089
10/29/1987	-0.011429462
10/30/1987	0.005752329
11/2/1987	-0.005752329
11/3/1987	0
11/4/1987	0.033423755
11/5/1987	-0.033423755
11/6/1987	-0.048986461
11/9/1987	-0.019894829
11/10/1987	0.006733383
11/11/1987	0.038344992
11/12/1987	-0.006160309
11/13/1987	-0.006248949
11/16/1987	-0.032669117
11/17/1987	0.019894829
11/18/1987	-0.033683113
11/19/1987	-0.007061854
11/20/1987	0.020850139
11/23/1987	0.032669117
11/24/1987	-0.006340178
11/25/1987	-0.019595556
11/27/1987	-0.020521667
11/30/1987	0
12/1/1987	0.020521667
12/2/1987	-0.027583522
12/3/1987	-0.007178585
12/4/1987	0.034762106
12/7/1987	0.025935734
12/8/1987	0.024473769
12/9/1987	-0.024473769
12/10/1987	0.006248949
12/11/1987	0.02413368
12/14/1987	-0.00590886
12/15/1987	0.011738403
12/16/1987	-0.005829544
12/17/1987	0.017259005
12/18/1987	0.011136366
12/21/1987	-0.005532489
12/22/1987	0.005532489
12/23/1987	-0.005532489
12/24/1987	-0.034762106
12/28/1987	0.017728767
12/29/1987	0.011429462
12/30/1987	-0.005677133
12/31/1987	0.022276395
1/4/1988	0
1/5/1988	0.015988105
1/6/1988	-0.00526424
1/7/1988	-0.038752589
1/8/1988	0.011429462
1/11/1988	-0.011429462
1/12/1988	-0.023802915
1/13/1988	0.012064511
1/14/1988	0.023167865
1/15/1988	-0.023167865
1/18/1988	-0.012064511
1/19/1988	-0.038344992
1/20/1988	0.025935734
1/21/1988	0.006248949
1/22/1988	0.012234456
1/25/1988	-0.012234456
1/26/1988	-0.006248949
1/27/1988	0.012409258
1/28/1988	0.012064511
1/29/1988	-0.012064511
2/1/1988	-0.006160309
2/2/1988	-0.019023237
2/3/1988	0.00643411
2/4/1988	0
2/5/1988	0.012589127
2/8/1988	0.006160309
2/9/1988	0.023802915
2/10/1988	-0.005829544
2/11/1988	-0.00590886
2/12/1988	0.011738403
2/16/1988	-0.005829544
2/17/1988	0.005829544
2/18/1988	0
2/19/1988	0.028028724
2/22/1988	0.005395032
2/23/1988	0.005328834
2/24/1988	-0.010723865
2/25/1988	0
2/26/1988	0.005395032
2/29/1988	0
3/1/1988	0.010593073
3/2/1988	0.015420359
3/3/1988	0.005020801
3/4/1988	0.014723257
3/7/1988	-0.009759837
3/8/1988	0.01455872
3/9/1988	-0.01455872
3/10/1988	0
3/11/1988	0.024000276
3/14/1988	-0.014240439
3/15/1988	-0.004852503
3/16/1988	0.004852503
3/17/1988	0.004798883
3/18/1988	-0.009651386
3/21/1988	0.004852503
3/22/1988	-0.009759837
3/23/1988	-0.02540458
3/24/1988	-0.010593073
3/25/1988	0.020933907
3/28/1988	0
3/29/1988	-0.010340833
3/30/1988	0.005201194
3/31/1988	0.00513964
4/4/1988	0.010100327
4/5/1988	0.01952214
4/6/1988	0
4/7/1988	0.009441556
4/8/1988	0.009240657
4/11/1988	0
4/12/1988	-0.009240657
4/13/1988	-0.019092942
4/14/1988	-0.004907334
4/15/1988	0
4/18/1988	0.004907334
4/19/1988	0.004852503
4/20/1988	-0.019744058
4/21/1988	0.014891555
4/22/1988	0
4/25/1988	0.014397821
4/26/1988	0.004695121
4/27/1988	-0.009441556
4/28/1988	-0.009651386
4/29/1988	0.009651386
5/2/1988	0.009441556
5/3/1988	0
5/4/1988	0
5/5/1988	-0.004695121
5/6/1988	-0.004746435
5/9/1988	-0.009651386
5/10/1988	-0.004907334
5/11/1988	0.009759837
5/12/1988	0.004798883
5/13/1988	0.004746435
5/16/1988	-0.009545318
5/17/1988	-0.014723257
5/18/1988	-0.010100327
5/19/1988	0.005079526
5/20/1988	-0.010219165
5/23/1988	0.00513964
5/24/1988	-0.00513964
5/25/1988	0.00513964
5/26/1988	0.005079526
5/27/1988	0.009984221
5/31/1988	0.009759837
6/1/1988	-0.009759837
6/2/1988	0.019305155
6/3/1988	0.018483406
6/6/1988	-0.004547628
6/7/1988	0.01350247
6/8/1988	-0.004454341
6/9/1988	0.004454341
6/10/1988	0.004409119
6/13/1988	0.004364805
6/14/1988	0.004321374
6/15/1988	0
6/16/1988	-0.004321374
6/17/1988	0
6/20/1988	0.012837225
6/21/1988	0.008352074
6/22/1988	0
6/23/1988	-0.008352074
6/24/1988	-0.004237053
6/27/1988	0.008433168
6/28/1988	0
6/29/1988	0
6/30/1988	0
7/1/1988	-0.004196115
7/5/1988	-0.008515851
7/6/1988	-0.004321374
7/7/1988	0
7/8/1988	-0.004364805
7/11/1988	0.01720203
7/12/1988	0.004196115
7/13/1988	-0.004196115
7/14/1988	0
7/15/1988	-0.004237053
7/18/1988	-0.008600172
7/19/1988	-0.013228266
7/20/1988	-0.009048129
7/21/1988	0.017911589
7/22/1988	0
7/25/1988	0
7/26/1988	-0.00886346
7/27/1988	0.004454341
7/28/1988	0.008773924
7/29/1988	0
8/1/1988	-0.004364805
8/2/1988	0.004364805
8/3/1988	-0.004364805
8/4/1988	-0.004409119
8/5/1988	-0.008954843
8/8/1988	-0.013788284
8/9/1988	-0.014240439
8/10/1988	0.014240439
8/11/1988	-0.009441556
8/12/1988	-0.01952214
8/15/1988	0.014723257
8/16/1988	-0.004852503
8/17/1988	-0.004907334
8/18/1988	-0.00496342
8/19/1988	-0.010100327
8/22/1988	0
8/23/1988	0
8/24/1988	-0.010340833
8/25/1988	-0.015988105
8/26/1988	0.021189299
8/29/1988	-0.005201194
8/30/1988	-0.015988105
8/31/1988	-0.016599262
9/1/1988	0.016599262
9/2/1988	0.005395032
9/6/1988	-0.021994294
9/7/1988	-0.005677133
9/8/1988	0.022276395
9/9/1988	0
9/12/1988	0
9/13/1988	0.015988105
9/14/1988	-0.015988105
9/15/1988	0.015988105
9/16/1988	0
9/19/1988	0
9/20/1988	-0.00526424
9/21/1988	-0.010723865
9/22/1988	0.010723865
9/23/1988	-0.016186761
9/26/1988	0
9/27/1988	-0.005532489
9/28/1988	0.010995384
9/29/1988	-0.005462896
9/30/1988	-0.016813499
10/3/1988	-0.017490732
10/4/1988	-0.005990364
10/5/1988	0.023481096
10/6/1988	-0.029555244
10/7/1988	0
10/10/1988	0.006074148
10/11/1988	-0.006074148
10/12/1988	0.006074148
10/13/1988	0.011899223
10/14/1988	0
10/17/1988	0.017259005
10/18/1988	-0.005677133
10/19/1988	0.016813499
10/20/1988	0.005462896
10/21/1988	-0.010995384
10/24/1988	-0.005603878
10/25/1988	-0.011429462
10/26/1988	-0.017728767
10/27/1988	-0.006074148
10/28/1988	0
10/31/1988	0
11/1/1988	0
11/2/1988	0.006074148
11/3/1988	-0.006074148
11/4/1988	-0.006160309
11/7/1988	0.006160309
11/8/1988	0.006074148
11/9/1988	-0.006074148
11/10/1988	-0.012409258
11/11/1988	-0.006340178
11/14/1988	-0.033168363
11/15/1988	0.013572807
11/16/1988	0.013161446
11/17/1988	-0.006530867
11/18/1988	-0.06366908
11/21/1988	0.007553138
11/22/1988	0.014723257
11/23/1988	-0.014723257
11/25/1988	0
11/28/1988	0
11/29/1988	-0.007553138
11/30/1988	0.022276395
12/1/1988	0.007178585
12/2/1988	0.007061854
12/5/1988	0
12/6/1988	-0.007061854
12/7/1988	0.007061854
12/8/1988	0.00694886
12/9/1988	-0.00694886
12/12/1988	-0.007061854
12/13/1988	0
12/14/1988	0.020850139
12/15/1988	0.006733383
12/16/1988	0.013161446
12/19/1988	0
12/20/1988	-0.013161446
12/21/1988	-0.006733383
12/22/1988	0.006733383
12/23/1988	0.006630579
12/27/1988	-0.006630579
12/28/1988	0.019595556
12/29/1988	0
12/30/1988	0
1/3/1989	0.012589127
1/4/1989	0
1/5/1989	0
1/6/1989	-0.012589127
1/9/1989	0.006340178
1/10/1989	0
1/11/1989	0.006248949
1/12/1989	-0.006248949
1/13/1989	0
1/16/1989	-0.012774288
1/17/1989	0.012774288
1/18/1989	0.006248949
1/19/1989	-0.006248949
