Date,Adj Close
2/28/2005,43.529999
3/1/2005,43.220001
3/2/2005,43.25
3/3/2005,42.970001
3/4/2005,43.380001
3/7/2005,43.470001
3/8/2005,44.029999
3/9/2005,44.02
3/10/2005,44.200001
3/11/2005,44.43
3/14/2005,44.029999
3/15/2005,44.060001
3/16/2005,44.310001
3/17/2005,43.82
3/18/2005,43.889999
3/21/2005,43.09
3/22/2005,42.650002
3/23/2005,42.419998
3/24/2005,42.389999
3/28/2005,42.540001
3/29/2005,42.560001
3/30/2005,42.610001
3/31/2005,42.82
4/1/2005,42.619999
4/4/2005,42.400002
4/5/2005,42.450001
4/6/2005,42.630001
4/7/2005,42.57
4/8/2005,42.689999
4/11/2005,42.779999
4/12/2005,42.84
4/13/2005,42.900002
4/14/2005,42.310001
4/15/2005,42.400002
4/18/2005,42.689999
4/19/2005,43.279999
4/20/2005,43.400002
4/21/2005,43.189999
4/22/2005,43.389999
4/25/2005,43.439999
4/26/2005,43.639999
4/27/2005,43.200001
4/28/2005,43
4/29/2005,43.349998
5/2/2005,42.880001
5/3/2005,42.759998
5/4/2005,42.900002
5/5/2005,42.91
5/6/2005,42.52
5/9/2005,42.549999
5/10/2005,42.639999
5/11/2005,42.689999
5/12/2005,42.16
5/13/2005,41.950001
5/16/2005,41.880001
5/17/2005,41.860001
5/18/2005,42.049999
5/19/2005,41.98
5/20/2005,41.650002
5/23/2005,41.619999
5/24/2005,41.73
5/25/2005,41.869999
5/26/2005,41.689999
5/27/2005,41.880001
5/31/2005,41.650002
6/1/2005,41.529999
6/2/2005,42.099998
6/3/2005,42.169998
6/6/2005,42.48
6/7/2005,42.380001
6/8/2005,42.34
6/9/2005,42.27
6/10/2005,42.619999
6/13/2005,42.779999
6/14/2005,42.599998
6/15/2005,42.740002
6/16/2005,43.459999
6/17/2005,43.630001
6/20/2005,43.66
6/21/2005,43.810001
6/22/2005,43.720001
6/23/2005,44.02
6/24/2005,43.900002
6/27/2005,43.91
6/28/2005,43.450001
6/29/2005,43.630001
6/30/2005,43.439999
7/1/2005,42.700001
7/5/2005,42.279999
7/6/2005,42.25
7/7/2005,42.360001
7/8/2005,42.259998
7/11/2005,42.540001
7/12/2005,42.639999
7/13/2005,42.349998
7/14/2005,41.900002
7/15/2005,42.049999
7/18/2005,42.009998
7/19/2005,41.889999
7/20/2005,42.200001
7/21/2005,42.459999
7/22/2005,42.450001
7/25/2005,42.509998
7/26/2005,42.25
7/27/2005,42.439999
7/28/2005,42.75
7/29/2005,42.82
8/1/2005,43.130001
8/2/2005,43.139999
8/3/2005,43.529999
8/4/2005,43.68
8/5/2005,43.599998
8/8/2005,43.349998
8/9/2005,43.34
8/10/2005,43.650002
8/11/2005,44.450001
8/12/2005,44.490002
8/15/2005,44.130001
8/16/2005,44.549999
8/17/2005,43.91
8/18/2005,43.830002
8/19/2005,43.599998
8/22/2005,43.700001
8/23/2005,43.759998
8/24/2005,43.59
8/25/2005,43.73
8/26/2005,43.610001
8/29/2005,43.57
8/30/2005,43.009998
8/31/2005,43.400002
9/1/2005,44.220001
9/2/2005,44.25
9/6/2005,44.27
9/7/2005,44.330002
9/8/2005,44.599998
9/9/2005,44.84
9/12/2005,44.889999
9/13/2005,44.560001
9/14/2005,44.959999
9/15/2005,45.419998
9/16/2005,45.82
9/19/2005,46.25
9/20/2005,46.23
9/21/2005,47.060001
9/22/2005,46.360001
9/23/2005,46.279999
9/26/2005,46.57
9/27/2005,46.25
9/28/2005,46.799999
9/29/2005,47.099998
9/30/2005,46.700001
10/3/2005,46.419998
10/4/2005,46.450001
10/5/2005,46.360001
10/6/2005,47.209999
10/7/2005,47.360001
10/10/2005,47.369999
10/11/2005,47.389999
10/12/2005,46.849998
10/13/2005,47.02
10/14/2005,46.799999
10/17/2005,47.259998
10/18/2005,47
10/19/2005,46.34
10/20/2005,45.98
10/21/2005,46.52
10/24/2005,46.389999
10/25/2005,47.060001
10/26/2005,46.93
10/27/2005,47.18
10/28/2005,47.220001
10/31/2005,46.400002
11/1/2005,45.73
11/2/2005,46.130001
11/3/2005,45.959999
11/4/2005,45.509998
11/7/2005,45.77
11/8/2005,45.91
11/9/2005,46.560001
11/10/2005,46.48
11/11/2005,46.799999
11/14/2005,46.619999
11/15/2005,46.66
11/16/2005,47.779999
11/17/2005,48.48
11/18/2005,48.459999
11/21/2005,48.990002
11/22/2005,49.32
11/23/2005,49.150002
11/25/2005,49.419998
11/28/2005,49.740002
11/29/2005,49.799999
11/30/2005,49.099998
12/1/2005,50.169998
12/2/2005,50.32
12/5/2005,50.779999
12/6/2005,50.889999
12/7/2005,51.32
12/8/2005,51.900002
12/9/2005,52.400002
12/12/2005,52.560001
12/13/2005,51.650002
12/14/2005,50.349998
12/15/2005,50.240002
12/16/2005,50.09
12/19/2005,50.220001
12/20/2005,49.040001
12/21/2005,49.369999
12/22/2005,50.139999
12/23/2005,50.119999
12/27/2005,50.639999
12/28/2005,51.470001
12/29/2005,51.470001
12/30/2005,51.580002
1/3/2006,53.119999
1/4/2006,53.299999
1/5/2006,52.34
1/6/2006,53.720001
1/9/2006,54.599998
1/10/2006,54.060001
1/11/2006,54.529999
1/12/2006,54.43
1/13/2006,55.439999
1/17/2006,55.259998
1/18/2006,54.07
1/19/2006,55.59
1/20/2006,55.200001
1/23/2006,55.77
1/24/2006,55.73
1/25/2006,56.139999
1/26/2006,55.880001
1/27/2006,55.630001
1/30/2006,56.68
1/31/2006,56.700001
2/1/2006,56.700001
2/2/2006,56.98
2/3/2006,56.5
2/6/2006,56.720001
2/7/2006,54.599998
2/8/2006,54.830002
2/9/2006,56.18
2/10/2006,54.790001
2/13/2006,53.720001
2/14/2006,54.490002
2/15/2006,53.759998
2/16/2006,54.52
