12/31/1987,EQ-DE,EQ-EM,BO-CO,NAREIT,Gold,Risk Free
1/31/1994,0.064347966,0.01767703,-0.004883456,0.02990404,-0.012833603,0.0025
2/28/1994,-0.014470776,-0.018399353,-0.021767837,0.0344283,0.005808334,0.0021
3/31/1994,-0.044685325,-0.092000616,-0.021062991,-0.040257,-0.017851351,0.0027
4/29/1994,0.029282836,-0.022190834,-0.006127991,0.0162169,0.010977379,0.0027
5/31/1994,0.000983316,0.031995066,0.009845752,0.02033351,0.011092143,0.0031
6/30/1994,-0.004389017,-0.029331929,-0.002370623,-0.021708382,-0.000395976,0.0031
7/29/1994,0.017392887,0.061665762,0.009410151,-0.00252969,-0.013323107,0.0028
8/31/1994,0.02850962,0.122986895,-0.00533661,0.005538465,0.029499988,0.0037
9/30/1994,-0.027856053,0.010484933,-0.007865986,-0.020312,-0.004605941,0.0037
10/31/1994,0.026787854,-0.019363019,-0.004918711,-0.03709946,-0.013810125,0.0038
11/30/1994,-0.044966307,-0.05319303,0.012241104,-0.0324909,-0.013274392,0.0037
12/30/1994,0.008007483,-0.081002621,0.008127325,0.061726031,-0.001940781,0.0044
1/31/1995,-0.016694418,-0.107071367,0.022956327,-0.0148408,-0.005045569,0.0042
2/28/1995,0.012841485,-0.026668971,0.021386735,0.03245976,0.014548548,0.004
3/31/1995,0.046422995,0.003961626,0.015394806,-0.00596913,0.023319901,0.0046
4/28/1995,0.033146986,0.043008076,0.031126366,0.00226784,-0.01486203,0.0044
5/31/1995,0.00689445,0.050561246,0.028904628,0.045019313,0.006074578,0.0054
6/30/1995,-0.001965302,0.000910917,-1.15E-05,0.017742159,-0.003420788,0.0047
7/31/1995,0.048362734,0.020991423,-0.004660333,0.015622876,-0.006676762,0.0045
8/31/1995,-0.023842539,-0.024927381,0.021878829,0.01488181,-0.001563343,0.0047
9/29/1995,0.027505376,-0.006126393,0.015049452,0.018298919,0.000213029,0.0043
10/31/1995,-0.017324598,-0.039236202,0.011162145,-0.01839856,0.005664966,0.0047
